SensorID,Local,Latitude,Longitude,Temperatura,Umidade,Vibracao,Qualidade_Solo,Risco,Data_Registro,Local_Enc,Risco_Enc
SENSOR-00001,Colina Alta,-23.273498,-46.407728,38.89,86.64,6.72,75.64,Médio,2025-05-11,0,2
SENSOR-00002,Colina Alta,-23.397125,-46.397151,35.0,78.65,3.19,23.8,Alto,2025-04-20,0,0
SENSOR-00003,Colina Alta,-23.179756,-46.743633,24.62,37.19,2.31,17.0,Alto,2025-05-24,0,0
SENSOR-00004,Encosta Verde,-23.24404,-46.645497,15.55,71.39,7.86,28.32,Alto,2025-04-01,1,0
SENSOR-00005,Serra Branca,-23.037274,-46.417144,26.07,71.6,6.83,62.38,Médio,2025-05-03,3,2
SENSOR-00006,Serra Branca,-23.475839,-46.536948,18.98,35.08,4.94,64.86,Médio,2025-03-18,3,2
SENSOR-00007,Vale Seguro,-23.293155,-46.409839,35.88,48.04,8.72,39.71,Alto,2025-04-22,4,0
SENSOR-00008,Encosta Verde,-23.028817,-46.737988,37.6,92.52,7.9,62.44,Alto,2025-05-07,1,0
SENSOR-00009,Vale Seguro,-23.270846,-46.58674,20.8,29.95,5.66,75.08,Médio,2025-05-03,4,2
SENSOR-00010,Colina Alta,-23.259304,-46.708902,16.15,44.54,6.17,46.9,Médio,2025-04-24,0,2
SENSOR-00011,Vale Seguro,-23.05459,-46.720533,31.52,80.53,8.63,91.39,Alto,2025-05-29,4,0
SENSOR-00012,Encosta Verde,-23.257462,-46.730581,20.27,34.29,7.12,0.43,Alto,2025-03-11,1,0
SENSOR-00013,Vale Seguro,-23.430235,-46.474111,32.95,24.76,0.51,5.08,Alto,2025-05-26,4,0
SENSOR-00014,Vale Seguro,-23.395012,-46.522605,26.39,86.29,2.85,44.74,Médio,2025-04-08,4,2
SENSOR-00015,Encosta Verde,-23.454805,-46.755189,30.42,69.76,0.33,7.75,Alto,2025-03-04,1,0
SENSOR-00016,Serra Branca,-23.240702,-46.566867,30.53,41.89,8.24,16.84,Alto,2025-03-20,3,0
SENSOR-00017,Vale Seguro,-23.03873,-46.547502,30.26,91.94,0.1,51.82,Baixo,2025-04-10,4,1
SENSOR-00018,Encosta Verde,-23.275241,-46.553232,15.16,27.47,7.71,16.29,Alto,2025-05-26,1,0
SENSOR-00019,Morro Azul,-23.060317,-46.613572,18.44,85.45,3.05,42.77,Médio,2025-05-30,2,2
SENSOR-00020,Encosta Verde,-23.466981,-46.629399,36.73,67.5,6.36,72.04,Médio,2025-03-16,1,2
SENSOR-00021,Morro Azul,-23.399559,-46.737941,20.66,38.99,3.37,77.28,Baixo,2025-04-21,2,1
SENSOR-00022,Morro Azul,-23.241265,-46.40194,15.6,90.77,8.38,71.78,Alto,2025-03-19,2,0
SENSOR-00023,Encosta Verde,-23.460066,-46.753055,17.7,44.86,6.13,60.91,Médio,2025-03-15,1,2
SENSOR-00024,Vale Seguro,-23.371901,-46.434595,30.49,72.95,7.29,94.53,Alto,2025-05-13,4,0
SENSOR-00025,Serra Branca,-23.24784,-46.523836,19.97,45.38,6.5,53.47,Médio,2025-04-01,3,2
SENSOR-00026,Serra Branca,-23.486511,-46.379168,26.29,97.16,4.17,49.88,Médio,2025-03-09,3,2
SENSOR-00027,Morro Azul,-23.232759,-46.360827,29.12,98.46,4.69,44.82,Médio,2025-03-15,2,2
SENSOR-00028,Morro Azul,-23.093537,-46.335397,37.7,93.75,1.0,43.85,Médio,2025-03-12,2,2
SENSOR-00029,Encosta Verde,-23.487049,-46.499507,22.31,89.93,1.92,11.45,Alto,2025-05-07,1,0
SENSOR-00030,Encosta Verde,-23.181017,-46.478112,29.05,86.58,7.43,37.32,Alto,2025-05-27,1,0
SENSOR-00031,Colina Alta,-23.393086,-46.505078,35.49,76.13,6.64,99.66,Médio,2025-05-23,0,2
SENSOR-00032,Vale Seguro,-23.03138,-46.682324,36.34,40.04,4.44,17.94,Alto,2025-03-11,4,0
SENSOR-00033,Vale Seguro,-23.37214,-46.369524,39.36,74.79,0.36,60.28,Baixo,2025-05-29,4,1
SENSOR-00034,Encosta Verde,-23.01486,-46.739488,28.25,41.56,0.68,45.26,Médio,2025-05-05,1,2
SENSOR-00035,Morro Azul,-23.332409,-46.72859,34.93,35.98,5.03,72.77,Médio,2025-03-31,2,2
SENSOR-00036,Encosta Verde,-23.080344,-46.366345,30.33,50.01,9.9,26.22,Alto,2025-03-26,1,0
SENSOR-00037,Morro Azul,-23.108828,-46.63885,35.83,61.0,1.8,31.86,Médio,2025-04-27,2,2
SENSOR-00038,Morro Azul,-23.204007,-46.799162,32.82,52.19,8.05,7.32,Alto,2025-03-20,2,0
SENSOR-00039,Vale Seguro,-23.272234,-46.388323,32.85,98.11,0.15,33.86,Médio,2025-05-28,4,2
SENSOR-00040,Serra Branca,-23.320611,-46.333813,25.66,74.24,2.45,16.52,Alto,2025-04-06,3,0
SENSOR-00041,Serra Branca,-23.145178,-46.787086,16.98,74.45,1.75,48.43,Médio,2025-03-28,3,2
SENSOR-00042,Encosta Verde,-23.097501,-46.775025,39.91,66.64,9.12,30.67,Alto,2025-04-07,1,0
SENSOR-00043,Vale Seguro,-23.462455,-46.53121,37.01,58.54,4.75,82.31,Médio,2025-04-30,4,2
SENSOR-00044,Vale Seguro,-23.215989,-46.375565,20.84,90.99,5.36,14.28,Alto,2025-04-29,4,0
SENSOR-00045,Serra Branca,-23.380868,-46.73657,38.9,71.2,0.24,75.91,Baixo,2025-05-18,3,1
SENSOR-00046,Colina Alta,-23.256999,-46.562013,26.7,93.77,0.0,40.67,Médio,2025-05-24,0,2
SENSOR-00047,Vale Seguro,-23.088068,-46.687119,23.17,39.29,3.97,56.35,Baixo,2025-03-15,4,1
SENSOR-00048,Encosta Verde,-23.123798,-46.763078,39.67,59.73,0.4,80.48,Baixo,2025-04-09,1,1
SENSOR-00049,Colina Alta,-23.197328,-46.421499,33.01,26.57,7.23,10.85,Alto,2025-04-21,0,0
SENSOR-00050,Morro Azul,-23.460025,-46.347684,36.16,91.04,8.69,83.1,Alto,2025-03-24,2,0
SENSOR-00051,Vale Seguro,-23.066469,-46.431774,29.41,43.61,1.85,94.76,Baixo,2025-05-17,4,1
SENSOR-00052,Morro Azul,-23.440252,-46.661591,15.11,58.76,2.64,25.79,Alto,2025-05-02,2,0
SENSOR-00053,Morro Azul,-23.200932,-46.652734,16.41,88.07,4.48,21.25,Alto,2025-03-24,2,0
SENSOR-00054,Morro Azul,-23.437056,-46.624053,38.68,34.85,9.44,22.52,Alto,2025-04-10,2,0
SENSOR-00055,Morro Azul,-23.230757,-46.718722,36.86,89.56,7.36,42.78,Alto,2025-04-09,2,0
SENSOR-00056,Vale Seguro,-23.346507,-46.564116,32.09,86.99,6.48,56.13,Médio,2025-05-14,4,2
SENSOR-00057,Serra Branca,-23.176698,-46.783252,27.91,23.46,5.41,89.5,Médio,2025-06-02,3,2
SENSOR-00058,Colina Alta,-23.144658,-46.528185,20.55,24.97,2.64,72.53,Baixo,2025-04-06,0,1
SENSOR-00059,Morro Azul,-23.324824,-46.713073,20.87,41.44,0.91,57.18,Baixo,2025-04-25,2,1
SENSOR-00060,Serra Branca,-23.270943,-46.763793,21.98,94.77,7.48,40.94,Alto,2025-04-16,3,0
SENSOR-00061,Encosta Verde,-23.45779,-46.546799,28.77,76.8,4.76,2.54,Alto,2025-04-28,1,0
SENSOR-00062,Morro Azul,-23.027252,-46.378215,24.76,30.21,4.01,37.57,Médio,2025-04-14,2,2
SENSOR-00063,Serra Branca,-23.138853,-46.418361,39.49,47.64,7.18,51.07,Alto,2025-03-30,3,0
SENSOR-00064,Vale Seguro,-23.362585,-46.705429,28.3,65.92,8.39,19.98,Alto,2025-04-05,4,0
SENSOR-00065,Morro Azul,-23.438605,-46.405867,18.06,44.18,8.75,74.5,Alto,2025-04-23,2,0
